Seq;Cod_Regi‹o;Cod_Munic;Total;Urbana;Rural
1;100;101; 816.900 ; 816.000 ; 900 
2;100;102; 68.500 ; 56.100 ; 12.400 
3;100;103; 55.200 ; 50.100 ; 5.100 
4;100;104; 48.400 ; 35.000 ; 13.400 
5;100;105; 44.600 ; 21.900 ; 22.700 
6;100;106; 29.100 ; 19.400 ; 9.700 
7;100;107; 25.700 ; 16.900 ; 8.800 
8;100;108; 25.200 ; 18.300 ; 6.900 
9;100;109; 24.600 ; 5.200 ; 19.400 
10;100;110; 23.100 ; 13.000 ; 10.100 
11;100;111; 22.700 ; 7.100 ; 15.600 
12;100;112; 22.600 ; 14.600 ; 8.000 
13;100;113; 19.100 ; 4.300 ; 14.800 
14;100;114; 17.100 ; 4.900 ; 12.200 
15;100;115; 17.100 ; 10.200 ; 6.900 
16;100;116; 14.700 ; 7.300 ; 7.400 
17;100;117; 14.400 ; 13.000 ; 1.400 
18;100;118; 13.400 ; 9.600 ; 3.800 
19;100;119; 11.900 ; 2.600 ; 9.300 
20;100;120; 10.800 ; 4.800 ; 6.000 
21;100;121; 10.500 ; 6.100 ; 4.400 
22;100;122; 10.200 ; 5.400 ; 4.800 
23;100;123; 8.300 ; 4.600 ; 3.700 
24;100;124; 8.200 ; 4.300 ; 3.900 
25;100;125; 6.800 ; 6.000 ; 800 
26;100;126; 6.600 ; 5.600 ; 1.000 
27;100;127; 6.500 ; 5.600 ; 900 
28;100;128; 5.500 ; 3.100 ; 2.400 
29;100;129; 5.500 ; 4.900 ; 600 
30;100;130; 5.200 ; 2.700 ; 2.500 
31;100;131; 5.200 ; 2.100 ; 3.100 
32;100;132; 4.400 ; 1.600 ; 2.800 
33;200;201; 215.800 ; 174.500 ; 41.300 
34;200;202; 62.200 ; 45.700 ; 16.500 
35;200;203; 52.600 ; 44.100 ; 8.500 
36;200;204; 46.600 ; 38.800 ; 7.800 
37;200;205; 41.300 ; 33.900 ; 7.400 
38;200;206; 33.300 ; 31.700 ; 1.600 
39;200;207; 32.700 ; 20.200 ; 12.500 
40;200;208; 32.100 ; 11.800 ; 20.300 
41;200;209; 27.100 ; 2.200 ; 24.900 
42;200;210; 25.700 ; 18.800 ; 6.900 
43;200;211; 25.100 ; 5.900 ; 19.200 
44;200;212; 23.700 ; 7.300 ; 16.400 
45;200;213; 23.700 ; 10.400 ; 13.300 
46;200;214; 23.700 ; 19.600 ; 4.100 
47;200;215; 23.300 ; 4.900 ; 18.400 
48;200;216; 22.600 ; 14.500 ; 8.100 
49;200;217; 20.100 ; 15.000 ; 5.100 
50;200;218; 19.300 ; 5.300 ; 14.000 
51;200;219; 19.300 ; 6.500 ; 12.800 
52;200;220; 18.900 ; 9.400 ; 9.500 
53;200;221; 18.000 ; 8.900 ; 9.100 
54;200;222; 17.800 ; 6.400 ; 11.400 
55;200;223; 17.300 ; 9.100 ; 8.200 
56;200;224; 17.100 ; 3.800 ; 13.300 
57;200;225; 16.800 ; 12.600 ; 4.200 
58;200;226; 15.900 ; 14.400 ; 1.500 
59;200;227; 15.000 ; 8.600 ; 6.400 
60;200;228; 13.800 ; 2.100 ; 11.700 
61;200;229; 13.000 ; 4.200 ; 8.800 
62;200;230; 12.200 ; 7.800 ; 4.400 
63;200;231; 12.100 ; 7.100 ; 5.000 
64;200;232; 11.600 ; 10.100 ; 1.500 
65;200;233; 11.300 ; 6.600 ; 4.700 
66;200;234; 10.900 ; 6.600 ; 4.300 
67;200;235; 10.800 ; 3.600 ; 7.200 
68;200;236; 10.800 ; 5.800 ; 5.000 
69;200;237; 9.900 ; 4.500 ; 5.400 
70;200;238; 8.900 ; 3.700 ; 5.200 
71;200;239; 8.500 ; 4.400 ; 4.100 
72;200;240; 7.700 ; 3.100 ; 4.600 
73;200;241; 7.500 ; 6.400 ; 1.100 
74;200;242; 7.300 ; 4.900 ; 2.400 
75;200;243; 7.000 ; 3.700 ; 3.300 
76;200;244; 6.900 ; 2.700 ; 4.200 
77;200;245; 6.000 ; 2.100 ; 3.900 
78;200;246; 5.000 ; 3.300 ; 1.700 
79;200;247; 4.900 ; 1.200 ; 3.700 
80;200;248; 4.300 ; 3.300 ; 1.000 
81;200;249; 4.100 ; 2.600 ; 1.500 
82;300;301; 70.800 ; 50.500 ; 20.300 
83;300;302; 60.700 ; 45.200 ; 15.500 
84;300;303; 51.300 ; 21.100 ; 30.200 
85;300;304; 45.000 ; 27.100 ; 17.900 
86;300;305; 37.100 ; 11.100 ; 26.000 
87;300;306; 30.300 ; 11.100 ; 19.200 
88;300;307; 26.900 ; 21.600 ; 5.300 
89;300;308; 25.700 ; 8.100 ; 17.600 
90;300;309; 21.200 ; 3.300 ; 17.900 
91;300;310; 20.400 ; 16.300 ; 4.100 
92;300;311; 20.400 ; 13.900 ; 6.500 
93;300;312; 17.100 ; 11.900 ; 5.200 
94;300;313; 14.700 ; 11.500 ; 3.200 
95;300;314; 11.000 ; 2.600 ; 8.400 
96;300;315; 10.200 ; 2.700 ; 7.500 
97;300;316; 7.200 ; 2.300 ; 4.900 
98;300;317; 6.900 ; 1.100 ; 5.800 
99;300;318; 6.900 ; 3.900 ; 3.000 
100;300;319; 6.700 ; 3.100 ; 3.600 
